               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0602,            0.034774,            0.045321,             0.60682,              0.6742,             0.67004,             0.36788,            0.040304,            0.017353,            0.015567,            0.070029,           0.0033301,           0.0033301
                   1,            0.046494,            0.030484,            0.020423,             0.69386,             0.67476,             0.72837,             0.42617,            0.037678,            0.018138,            0.011289,            0.040007,           0.0066415,           0.0066415
                   2,             0.04518,            0.032976,            0.020854,             0.60583,              0.5433,             0.57287,             0.31757,            0.040354,            0.021427,             0.01787,            0.009963,           0.0099308,           0.0099308
                   3,            0.045201,            0.035561,             0.02447,             0.60898,             0.54187,             0.56653,               0.306,            0.040191,            0.021398,            0.016264,            0.009901,            0.009901,            0.009901
                   4,            0.044276,             0.03556,            0.023322,             0.63547,             0.59485,             0.61819,             0.34552,            0.038885,            0.021161,            0.013203,            0.009901,            0.009901,            0.009901
                   5,            0.042833,            0.035046,            0.021394,             0.67673,             0.59652,             0.64982,             0.37833,            0.037188,            0.020467,            0.011543,            0.009868,            0.009868,            0.009868
                   6,            0.041738,            0.034682,            0.020008,             0.66965,             0.63365,              0.6739,             0.39379,             0.03666,            0.020027,            0.011476,            0.009835,            0.009835,            0.009835
                   7,             0.04087,              0.0341,             0.01936,             0.69213,             0.63408,              0.6858,             0.40527,            0.036349,            0.020035,            0.010912,            0.009802,            0.009802,            0.009802
                   8,            0.040288,            0.033803,            0.018563,             0.71148,             0.63407,             0.69992,             0.42045,            0.035293,            0.019725,           0.0099048,            0.009769,            0.009769,            0.009769
                   9,              0.0397,            0.033018,            0.017812,             0.70294,             0.66472,             0.71617,              0.4321,            0.035772,            0.019667,           0.0095087,            0.009736,            0.009736,            0.009736
                  10,             0.03928,            0.033226,            0.017359,             0.69418,             0.64705,             0.70324,             0.43282,            0.034457,            0.019587,            0.009696,            0.009703,            0.009703,            0.009703
                  11,            0.038849,            0.033312,            0.016992,             0.69733,             0.68095,             0.72442,             0.44616,            0.034304,            0.019375,           0.0089876,             0.00967,             0.00967,             0.00967
                  12,            0.038233,            0.032903,            0.016085,             0.71153,             0.68578,             0.72819,              0.4489,            0.034071,            0.019363,           0.0092115,            0.009637,            0.009637,            0.009637
                  13,            0.038144,            0.032795,            0.016033,             0.72483,             0.68312,             0.73677,             0.46479,            0.033521,            0.019138,           0.0081884,            0.009604,            0.009604,            0.009604
                  14,             0.03822,            0.032616,            0.015744,             0.73392,             0.69402,             0.74787,             0.47267,            0.033395,             0.01899,           0.0079221,            0.009571,            0.009571,            0.009571
                  15,             0.03748,            0.032388,             0.01498,             0.72537,             0.69471,              0.7456,             0.47317,            0.033372,            0.019057,           0.0080661,            0.009538,            0.009538,            0.009538
                  16,            0.037333,            0.032224,             0.01519,             0.72964,             0.69336,             0.74977,             0.47522,            0.032901,            0.018979,           0.0082679,            0.009505,            0.009505,            0.009505
                  17,            0.037031,            0.032238,            0.014957,             0.74005,              0.7086,             0.76544,              0.4888,            0.032996,            0.018601,             0.00782,            0.009472,            0.009472,            0.009472
                  18,            0.037066,            0.032228,            0.014728,             0.73151,             0.70566,             0.76366,             0.48904,            0.032689,            0.018716,           0.0072199,            0.009439,            0.009439,            0.009439
                  19,            0.036742,            0.032039,            0.014207,             0.73686,             0.71536,             0.76484,             0.49613,            0.032575,            0.018605,           0.0072879,            0.009406,            0.009406,            0.009406
                  20,            0.036593,            0.031639,            0.013897,             0.73936,             0.72485,             0.77407,             0.50728,            0.032075,            0.018405,           0.0070045,            0.009373,            0.009373,            0.009373
                  21,            0.036392,            0.031703,            0.013831,             0.75313,             0.71538,             0.77335,             0.50081,            0.032164,            0.018495,           0.0067769,             0.00934,             0.00934,             0.00934
                  22,            0.036206,            0.031823,            0.013382,             0.74916,             0.72515,             0.77437,             0.50704,            0.031962,            0.018539,           0.0068029,            0.009307,            0.009307,            0.009307
                  23,            0.036123,            0.031235,            0.013535,             0.76423,             0.71418,              0.7785,              0.5149,            0.031744,            0.018236,           0.0065818,            0.009274,            0.009274,            0.009274
                  24,            0.036111,            0.031362,            0.012986,             0.75781,             0.73266,             0.78286,             0.51762,            0.031648,            0.018201,           0.0068631,            0.009241,            0.009241,            0.009241
                  25,            0.035793,            0.031274,            0.013282,             0.75856,             0.73381,              0.7873,             0.52205,            0.031498,            0.018152,           0.0066182,            0.009208,            0.009208,            0.009208
                  26,            0.036084,            0.031216,            0.013448,              0.7511,             0.73679,             0.78407,              0.5239,            0.031329,            0.018148,           0.0068758,            0.009175,            0.009175,            0.009175
                  27,            0.035727,            0.031514,            0.012705,             0.76584,             0.73819,             0.79418,             0.53289,            0.031138,            0.018099,           0.0065811,            0.009142,            0.009142,            0.009142
                  28,            0.035638,            0.031094,            0.012667,             0.75953,             0.73792,             0.78974,             0.52687,            0.031037,            0.018034,           0.0064908,            0.009109,            0.009109,            0.009109
                  29,            0.035541,            0.031281,            0.012422,             0.76848,             0.74248,             0.79405,             0.53472,            0.030977,            0.017913,           0.0064288,            0.009076,            0.009076,            0.009076
                  30,            0.035418,            0.031087,             0.01289,              0.7625,              0.7462,             0.79534,             0.53248,            0.030882,             0.01803,           0.0064367,            0.009043,            0.009043,            0.009043
                  31,            0.035246,             0.03056,             0.01219,              0.7725,             0.75296,             0.80119,             0.53906,             0.03081,            0.017948,            0.006526,             0.00901,             0.00901,             0.00901
                  32,            0.035003,            0.030601,            0.012389,              0.7696,              0.7422,             0.79807,             0.53905,             0.03067,            0.017894,           0.0064248,            0.008977,            0.008977,            0.008977
                  33,            0.034974,            0.030693,            0.012035,             0.76429,             0.75121,             0.80187,             0.54235,            0.030626,            0.017871,           0.0063174,            0.008944,            0.008944,            0.008944
                  34,             0.03521,            0.030809,            0.012119,             0.78339,             0.74063,             0.80487,             0.54533,            0.030391,             0.01785,           0.0060574,            0.008911,            0.008911,            0.008911
                  35,            0.034855,            0.030464,            0.012289,             0.77553,             0.74917,             0.80492,             0.54624,            0.030428,            0.017864,           0.0061526,            0.008878,            0.008878,            0.008878
                  36,            0.034717,            0.030849,            0.011909,             0.77651,             0.74869,             0.80602,             0.54946,            0.030331,              0.0178,           0.0060349,            0.008845,            0.008845,            0.008845
                  37,            0.035004,            0.030697,            0.011942,             0.78952,             0.75156,             0.81267,             0.55436,            0.030258,            0.017712,           0.0059592,            0.008812,            0.008812,            0.008812
                  38,            0.034807,            0.030788,             0.01202,             0.78727,             0.75222,             0.81314,             0.55619,            0.030085,            0.017665,           0.0060297,            0.008779,            0.008779,            0.008779
