               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044386,            0.064386,            0.018376,             0.63559,             0.49405,             0.52989,             0.33703,            0.044424,            0.050274,            0.017373,            0.070004,           0.0033329,           0.0033329
                   1,            0.047658,            0.067954,            0.022801,             0.62608,              0.4781,             0.51753,             0.32517,            0.045338,            0.050763,            0.018216,            0.039982,           0.0066442,           0.0066442
                   2,            0.051803,            0.071699,            0.028507,             0.60426,             0.45336,             0.49021,             0.30352,             0.04631,            0.051539,             0.01938,           0.0099381,           0.0099336,           0.0099336
                   3,            0.052705,            0.072705,            0.029835,              0.6139,             0.45833,             0.49819,             0.31236,            0.046015,            0.051342,            0.018814,            0.009901,            0.009901,            0.009901
                   4,            0.051659,            0.071709,             0.02821,              0.6202,             0.46731,             0.50605,             0.31813,            0.045596,             0.05103,            0.018339,            0.009901,            0.009901,            0.009901
                   5,            0.051191,            0.071357,            0.027564,             0.62755,             0.47258,             0.51322,             0.32299,            0.045316,            0.050794,            0.018026,            0.009868,            0.009868,            0.009868
                   6,            0.051006,            0.070962,            0.027143,             0.63906,             0.47437,             0.51901,             0.32681,             0.04513,            0.050646,            0.017867,            0.009835,            0.009835,            0.009835
                   7,            0.050768,             0.07084,            0.026897,             0.64089,             0.47875,             0.52143,             0.32943,            0.045027,            0.050575,            0.017733,            0.009802,            0.009802,            0.009802
                   8,            0.050646,            0.070655,            0.026712,              0.6449,                0.48,             0.52266,             0.33059,            0.044969,            0.050526,            0.017641,            0.009769,            0.009769,            0.009769
                   9,            0.050593,            0.070693,            0.026677,             0.63447,             0.48426,              0.5234,             0.33088,            0.044913,            0.050493,            0.017561,            0.009736,            0.009736,            0.009736
                  10,            0.050555,            0.070719,            0.026575,             0.62938,             0.48728,             0.52367,             0.33195,            0.044861,            0.050467,            0.017498,            0.009703,            0.009703,            0.009703
                  11,            0.050504,            0.070674,            0.026514,              0.6281,             0.48819,             0.52404,             0.33284,            0.044825,             0.05044,            0.017446,             0.00967,             0.00967,             0.00967
                  12,            0.050528,            0.070649,            0.026531,             0.62871,             0.48702,             0.52456,             0.33351,            0.044792,            0.050405,             0.01741,            0.009637,            0.009637,            0.009637
                  13,            0.050465,            0.070303,              0.0264,             0.62501,              0.4888,             0.52501,             0.33453,            0.044762,            0.050379,            0.017379,            0.009604,            0.009604,            0.009604
                  14,            0.050418,            0.070689,            0.026463,             0.62867,             0.48589,             0.52619,             0.33509,            0.044748,            0.050372,             0.01736,            0.009571,            0.009571,            0.009571
                  15,            0.050499,            0.070603,            0.026423,             0.62905,              0.4867,             0.52648,             0.33548,             0.04473,            0.050359,            0.017326,            0.009538,            0.009538,            0.009538
                  16,            0.050389,            0.070536,             0.02639,             0.62514,             0.48997,             0.52702,             0.33615,            0.044711,            0.050345,            0.017302,            0.009505,            0.009505,            0.009505
                  17,            0.050416,            0.070475,              0.0263,             0.62986,             0.48806,             0.52694,             0.33625,            0.044692,            0.050347,             0.01729,            0.009472,            0.009472,            0.009472
                  18,            0.050415,            0.070494,             0.02638,             0.62801,             0.48973,             0.52737,             0.33598,             0.04469,            0.050328,            0.017283,            0.009439,            0.009439,            0.009439
                  19,            0.050389,            0.070484,            0.026222,             0.62584,             0.48986,             0.52763,             0.33605,            0.044684,            0.050315,            0.017276,            0.009406,            0.009406,            0.009406
                  20,            0.050369,            0.070407,            0.026142,             0.62654,              0.4876,             0.52703,             0.33592,            0.044677,            0.050306,            0.017256,            0.009373,            0.009373,            0.009373
                  21,             0.05031,              0.0705,            0.026159,             0.62592,             0.48976,              0.5271,             0.33582,            0.044673,            0.050302,            0.017243,             0.00934,             0.00934,             0.00934
                  22,            0.050293,            0.070466,            0.026268,             0.62814,             0.48773,             0.52713,             0.33596,            0.044669,            0.050289,            0.017222,            0.009307,            0.009307,            0.009307
                  23,            0.050396,            0.070789,            0.026197,             0.62817,             0.48911,              0.5278,             0.33595,            0.044662,            0.050274,            0.017213,            0.009274,            0.009274,            0.009274
                  24,            0.050296,            0.070507,            0.026147,             0.62759,             0.48989,             0.52681,             0.33579,            0.044661,            0.050266,            0.017212,            0.009241,            0.009241,            0.009241
                  25,            0.050277,            0.070404,             0.02602,             0.63115,             0.48833,             0.52791,             0.33631,            0.044658,            0.050241,            0.017214,            0.009208,            0.009208,            0.009208
                  26,            0.050249,            0.070434,            0.026152,             0.62502,             0.48999,             0.52782,             0.33655,            0.044651,            0.050224,            0.017226,            0.009175,            0.009175,            0.009175
                  27,            0.050282,            0.070589,            0.026188,             0.62787,             0.48886,              0.5282,             0.33631,            0.044642,            0.050208,            0.017229,            0.009142,            0.009142,            0.009142
                  28,            0.050224,            0.070523,            0.025972,             0.62379,             0.49098,             0.52824,             0.33645,            0.044636,            0.050189,            0.017225,            0.009109,            0.009109,            0.009109
                  29,            0.050208,            0.070349,            0.026056,             0.62955,              0.4893,             0.52901,             0.33705,            0.044622,            0.050181,            0.017201,            0.009076,            0.009076,            0.009076
                  30,            0.050248,            0.070436,             0.02604,              0.6339,             0.48723,             0.52905,             0.33719,            0.044605,            0.050188,            0.017199,            0.009043,            0.009043,            0.009043
                  31,            0.050221,            0.070616,             0.02601,             0.63031,             0.48949,             0.52966,             0.33824,            0.044595,            0.050193,            0.017205,             0.00901,             0.00901,             0.00901
                  32,            0.050186,            0.070315,            0.025963,             0.63068,             0.48998,             0.52917,             0.33767,              0.0446,            0.050195,            0.017209,            0.008977,            0.008977,            0.008977
                  33,            0.050144,            0.070401,            0.025988,             0.63148,             0.48964,             0.53041,             0.33806,            0.044593,              0.0502,            0.017184,            0.008944,            0.008944,            0.008944
                  34,            0.050184,            0.070409,            0.025912,             0.63094,             0.49138,             0.53039,             0.33821,            0.044584,            0.050195,            0.017172,            0.008911,            0.008911,            0.008911
