               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12996,             0.12953,            0.049171,             0.27411,             0.15581,            0.082782,            0.034933,             0.10866,             0.22542,            0.041755,            0.070074,           0.0033251,           0.0033251
                   1,             0.11106,             0.16681,            0.038173,             0.29343,              0.1939,             0.10189,            0.040196,              0.1062,             0.22985,            0.039244,            0.040052,           0.0066365,           0.0066365
                   2,             0.10894,             0.17056,            0.035821,             0.47288,             0.18874,             0.13776,            0.059406,             0.10369,             0.22993,            0.036928,            0.010008,           0.0099258,           0.0099258
                   3,             0.10665,             0.16888,            0.033688,              0.4985,             0.19286,             0.16528,            0.076047,             0.10116,             0.23078,            0.035978,            0.009901,            0.009901,            0.009901
                   4,             0.10443,             0.16979,            0.032381,             0.42056,             0.21208,             0.18037,            0.085267,             0.10029,             0.22989,            0.034987,            0.009901,            0.009901,            0.009901
                   5,             0.10303,             0.16816,            0.031459,             0.46974,             0.21614,             0.19692,            0.092548,             0.10028,              0.2291,            0.034363,            0.009868,            0.009868,            0.009868
                   6,             0.10251,             0.16706,            0.030745,             0.48908,             0.22614,             0.20844,             0.10183,            0.098672,             0.22732,            0.034363,            0.009835,            0.009835,            0.009835
                   7,             0.10202,             0.16691,            0.030205,             0.48058,             0.22722,             0.21491,             0.10635,            0.098063,               0.227,            0.033598,            0.009802,            0.009802,            0.009802
                   8,             0.10119,             0.16659,             0.02973,             0.31995,             0.24605,              0.2255,             0.11097,            0.097754,             0.22716,            0.033212,            0.009769,            0.009769,            0.009769
                   9,             0.10086,             0.16568,            0.029407,             0.35232,             0.26022,             0.23467,             0.11669,            0.097328,             0.22635,            0.033184,            0.009736,            0.009736,            0.009736
                  10,             0.10112,             0.16492,            0.029098,             0.32925,             0.26673,             0.23364,             0.11506,             0.09779,             0.22633,            0.032806,            0.009703,            0.009703,            0.009703
                  11,             0.10028,             0.16586,            0.028637,             0.36079,             0.27399,              0.2439,             0.12212,            0.097386,             0.22706,            0.032669,             0.00967,             0.00967,             0.00967
                  12,             0.10017,              0.1658,            0.028285,             0.35007,             0.27248,             0.24802,             0.12697,            0.096733,             0.22544,            0.032436,            0.009637,            0.009637,            0.009637
                  13,            0.099714,             0.16333,            0.028094,             0.35766,             0.28636,             0.25616,             0.12903,            0.096425,             0.22481,            0.032215,            0.009604,            0.009604,            0.009604
                  14,            0.099572,             0.16546,            0.027875,              0.3635,              0.2874,             0.26026,             0.13056,             0.09649,             0.22555,            0.032327,            0.009571,            0.009571,            0.009571
                  15,            0.099405,              0.1639,            0.027791,             0.37803,             0.28881,             0.26304,             0.13456,             0.09616,             0.22433,              0.0321,            0.009538,            0.009538,            0.009538
